epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.638748,0.648438,0.506361,0.634127,0.623063,0.625730
2,0.626311,0.654215,0.535326,0.625387,0.635169,0.625353
3,0.622141,0.658490,0.542117,0.619743,0.644944,0.632652
4,0.617089,0.661972,0.545308,0.618043,0.643442,0.640262
5,0.615477,0.662223,0.548384,0.618120,0.641492,0.641081
6,0.612700,0.665771,0.550627,0.625454,0.618801,0.637848
7,0.613249,0.665773,0.548893,0.617681,0.640801,0.640301
8,0.612131,0.666624,0.553144,0.618714,0.641459,0.642178
9,0.609500,0.669364,0.553267,0.618237,0.641367,0.642218
10,0.609433,0.668687,0.556079,0.613978,0.652314,0.640892
11,0.605839,0.671695,0.557466,0.616183,0.650595,0.639702
12,0.608307,0.669348,0.559007,0.615386,0.650160,0.645362
13,0.606253,0.672147,0.560227,0.621765,0.623972,0.647327
14,0.605689,0.672210,0.561070,0.612872,0.669143,0.623057
15,0.605732,0.671378,0.562284,0.612372,0.658558,0.640538
